


at:8	acertos:68.16	micro:0.76	macro:0.66	550 selecionados	MultilayerPerceptron



at:8	acertos:59.64	micro:0.58	macro:0.53	650 selecionados	SMO
at:8	acertos:60.91	micro:0.69	macro:0.59	650 selecionados	IBk
at:8	acertos:62.42	micro:0.69	macro:0.6	650 selecionados	IBk
at:8	acertos:62.48	micro:0.69	macro:0.59	650 selecionados	IBk
at:8	acertos:63.38	micro:0.69	macro:0.61	650 selecionados	IBk
at:8	acertos:63.75	micro:0.69	macro:0.62	650 selecionados	IBk
at:8	acertos:63.75	micro:0.69	macro:0.62	650 selecionados	IBk
at:8	acertos:64.11	micro:0.69	macro:0.62	650 selecionados	IBk
at:8	acertos:63.87	micro:0.68	macro:0.62	650 selecionados	IBk
at:8	acertos:63.87	micro:0.68	macro:0.62	650 selecionados	IBk
at:8	acertos:45.26	micro:0.53	macro:0.43	650 selecionados	NaiveBayes
at:8	acertos:45.26	micro:0.53	macro:0.43	650 selecionados	NaiveBayesSimple
at:8	acertos:56.62	micro:0.65	macro:0.52	650 selecionados	J48
at:8	acertos:68.76	micro:0.77	macro:0.67	650 selecionados	MultilayerPerceptron



at:8	acertos:59.94	micro:0.58	macro:0.53	750 selecionados	SMO
at:8	acertos:61.69	micro:0.7	macro:0.6	750 selecionados	IBk
at:8	acertos:62.36	micro:0.69	macro:0.6	750 selecionados	IBk
at:8	acertos:62.9	micro:0.69	macro:0.6	750 selecionados	IBk
at:8	acertos:63.69	micro:0.69	macro:0.61	750 selecionados	IBk
at:8	acertos:64.05	micro:0.7	macro:0.62	750 selecionados	IBk
at:8	acertos:63.75	micro:0.69	macro:0.62	750 selecionados	IBk
at:8	acertos:64.41	micro:0.69	macro:0.62	750 selecionados	IBk
at:8	acertos:64.59	micro:0.69	macro:0.62	750 selecionados	IBk
at:8	acertos:64.11	micro:0.69	macro:0.62	750 selecionados	IBk
at:8	acertos:45.74	micro:0.54	macro:0.44	750 selecionados	NaiveBayes
at:8	acertos:45.68	micro:0.53	macro:0.44	750 selecionados	NaiveBayesSimple
at:8	acertos:57.95	micro:0.66	macro:0.54	750 selecionados	J48
at:8	acertos:68.46	micro:0.76	macro:0.67	750 selecionados	MultilayerPerceptron



at:8	acertos:60.24	micro:0.59	macro:0.55	850 selecionados	SMO
at:8	acertos:61.81	micro:0.7	macro:0.6	850 selecionados	IBk
at:8	acertos:62.66	micro:0.69	macro:0.6	850 selecionados	IBk
at:8	acertos:63.5	micro:0.69	macro:0.6	850 selecionados	IBk
at:8	acertos:64.59	micro:0.7	macro:0.62	850 selecionados	IBk
at:8	acertos:64.77	micro:0.71	macro:0.63	850 selecionados	IBk
at:8	acertos:64.53	micro:0.7	macro:0.63	850 selecionados	IBk
at:8	acertos:64.83	micro:0.7	macro:0.63	850 selecionados	IBk
at:8	acertos:64.89	micro:0.7	macro:0.63	850 selecionados	IBk
at:8	acertos:64.59	micro:0.7	macro:0.63	850 selecionados	IBk
at:8	acertos:46.1	micro:0.54	macro:0.44	850 selecionados	NaiveBayes
at:8	acertos:46.1	micro:0.54	macro:0.44	850 selecionados	NaiveBayesSimple
at:8	acertos:57.52	micro:0.66	macro:0.54	850 selecionados	J48
at:8	acertos:69.79	micro:0.78	macro:0.68	850 selecionados	MultilayerPerceptron



at:8	acertos:60.48	micro:0.59	macro:0.54	950 selecionados	SMO
at:8	acertos:62.11	micro:0.7	macro:0.6	950 selecionados	IBk
at:8	acertos:62.72	micro:0.69	macro:0.6	950 selecionados	IBk
at:8	acertos:63.75	micro:0.7	macro:0.61	950 selecionados	IBk
at:8	acertos:64.47	micro:0.7	macro:0.62	950 selecionados	IBk
at:8	acertos:65.2	micro:0.71	macro:0.63	950 selecionados	IBk
at:8	acertos:64.71	micro:0.7	macro:0.63	950 selecionados	IBk
at:8	acertos:65.2	micro:0.7	macro:0.63	950 selecionados	IBk
at:8	acertos:65.02	micro:0.7	macro:0.63	950 selecionados	IBk
at:8	acertos:65.02	micro:0.7	macro:0.64	950 selecionados	IBk
at:8	acertos:46.53	micro:0.54	macro:0.44	950 selecionados	NaiveBayes
at:8	acertos:46.53	micro:0.54	macro:0.44	950 selecionados	NaiveBayesSimple
at:8	acertos:57.22	micro:0.65	macro:0.53	950 selecionados	J48
at:8	acertos:70.15	micro:0.78	macro:0.69	950 selecionados	MultilayerPerceptron



at:8	acertos:60.85	micro:0.59	macro:0.59	1050 selecionados	SMO
at:8	acertos:61.93	micro:0.7	macro:0.6	1050 selecionados	IBk
at:8	acertos:63.08	micro:0.7	macro:0.61	1050 selecionados	IBk
at:8	acertos:63.87	micro:0.7	macro:0.61	1050 selecionados	IBk
at:8	acertos:64.77	micro:0.7	macro:0.63	1050 selecionados	IBk
at:8	acertos:65.02	micro:0.71	macro:0.63	1050 selecionados	IBk
at:8	acertos:65.26	micro:0.71	macro:0.64	1050 selecionados	IBk
at:8	acertos:65.5	micro:0.71	macro:0.64	1050 selecionados	IBk
at:8	acertos:65.26	micro:0.7	macro:0.64	1050 selecionados	IBk
at:8	acertos:65.44	micro:0.7	macro:0.64	1050 selecionados	IBk
at:8	acertos:46.83	micro:0.54	macro:0.45	1050 selecionados	NaiveBayes
at:8	acertos:46.89	micro:0.54	macro:0.45	1050 selecionados	NaiveBayesSimple
at:8	acertos:57.22	micro:0.65	macro:0.53	1050 selecionados	J48
at:8	acertos:70.15	micro:0.78	macro:0.69	1050 selecionados	MultilayerPerceptron



at:8	acertos:60.97	micro:0.6	macro:0.59	1150 selecionados	SMO
at:8	acertos:61.93	micro:0.7	macro:0.6	1150 selecionados	IBk
at:8	acertos:63.32	micro:0.7	macro:0.61	1150 selecionados	IBk
at:8	acertos:64.29	micro:0.7	macro:0.62	1150 selecionados	IBk
at:8	acertos:65.08	micro:0.71	macro:0.63	1150 selecionados	IBk
at:8	acertos:65.38	micro:0.71	macro:0.64	1150 selecionados	IBk
at:8	acertos:64.95	micro:0.71	macro:0.64	1150 selecionados	IBk
at:8	acertos:65.92	micro:0.71	macro:0.65	1150 selecionados	IBk
at:8	acertos:65.56	micro:0.71	macro:0.64	1150 selecionados	IBk
at:8	acertos:65.62	micro:0.7	macro:0.64	1150 selecionados	IBk
at:8	acertos:46.95	micro:0.55	macro:0.45	1150 selecionados	NaiveBayes
at:8	acertos:46.89	micro:0.55	macro:0.45	1150 selecionados	NaiveBayesSimple
at:8	acertos:56.98	micro:0.65	macro:0.53	1150 selecionados	J48
at:8	acertos:70.39	micro:0.78	macro:0.69	1150 selecionados	MultilayerPerceptron



at:8	acertos:61.15	micro:0.6	macro:0.57	1250 selecionados	SMO
at:8	acertos:62.05	micro:0.7	macro:0.61	1250 selecionados	IBk
at:8	acertos:63.26	micro:0.7	macro:0.61	1250 selecionados	IBk
at:8	acertos:64.53	micro:0.71	macro:0.62	1250 selecionados	IBk
at:8	acertos:65.26	micro:0.71	macro:0.63	1250 selecionados	IBk
at:8	acertos:65.5	micro:0.71	macro:0.64	1250 selecionados	IBk
at:8	acertos:65.08	micro:0.71	macro:0.64	1250 selecionados	IBk
at:8	acertos:66.04	micro:0.71	macro:0.65	1250 selecionados	IBk
at:8	acertos:65.74	micro:0.71	macro:0.64	1250 selecionados	IBk
at:8	acertos:65.5	micro:0.7	macro:0.64	1250 selecionados	IBk
at:8	acertos:47.25	micro:0.55	macro:0.45	1250 selecionados	NaiveBayes
at:8	acertos:47.07	micro:0.55	macro:0.45	1250 selecionados	NaiveBayesSimple
at:8	acertos:57.04	micro:0.65	macro:0.53	1250 selecionados	J48
at:8	acertos:70.33	micro:0.78	macro:0.69	1250 selecionados	MultilayerPerceptron



at:8	acertos:60.91	micro:0.6	macro:0.57	1350 selecionados	SMO
at:8	acertos:62.36	micro:0.71	macro:0.61	1350 selecionados	IBk
at:8	acertos:63.63	micro:0.7	macro:0.62	1350 selecionados	IBk
at:8	acertos:64.53	micro:0.71	macro:0.62	1350 selecionados	IBk
at:8	acertos:65.14	micro:0.71	macro:0.63	1350 selecionados	IBk
at:8	acertos:65.74	micro:0.72	macro:0.64	1350 selecionados	IBk
at:8	acertos:64.83	micro:0.71	macro:0.64	1350 selecionados	IBk
at:8	acertos:66.04	micro:0.71	macro:0.65	1350 selecionados	IBk
at:8	acertos:65.62	micro:0.71	macro:0.64	1350 selecionados	IBk
at:8	acertos:65.74	micro:0.71	macro:0.65	1350 selecionados	IBk
at:8	acertos:47.13	micro:0.55	macro:0.45	1350 selecionados	NaiveBayes
at:8	acertos:47.31	micro:0.55	macro:0.45	1350 selecionados	NaiveBayesSimple
