atributos_SMO,acertos_SMO,micro_SMO,macro_SMO,nome_SMO,atributos_IBk_3,acertos_IBk_3,micro_IBk_3,macro_IBk_3,nome_IBk_3,atributos_IBk_5,acertos_IBk_5,micro_IBk_5,macro_IBk_5,nome_IBk_5,atributos_IBk_7,acertos_IBk_7,micro_IBk_7,macro_IBk_7,nome_IBk_7,atributos_IBk_9,acertos_IBk_9,micro_IBk_9,macro_IBk_9,nome_IBk_9,atributos_IBk_11,acertos_IBk_11,micro_IBk_11,macro_IBk_11,nome_IBk_11,atributos_IBk_13,acertos_IBk_13,micro_IBk_13,macro_IBk_13,nome_IBk_13,atributos_IBk_15,acertos_IBk_15,micro_IBk_15,macro_IBk_15,nome_IBk_15,atributos_IBk_17,acertos_IBk_17,micro_IBk_17,macro_IBk_17,nome_IBk_17,atributos_IBk_19,acertos_IBk_19,micro_IBk_19,macro_IBk_19,nome_IBk_19,atributos_NaiveBayes,acertos_NaiveBayes,micro_NaiveBayes,macro_NaiveBayes,nome_NaiveBayes,atributos_MultilayerPerceptron,acertos_MultilayerPerceptron,micro_MultilayerPerceptron,macro_MultilayerPerceptron,nome_MultilayerPerceptron,atributos_J48,acertos_J48,micro_J48,macro_J48,nome_J48,
3110, 83.75, 0.88, 0.85, SMO, 3110, 90.22, 0.94, 0.9, IBk, 3110, 89.86, 0.93, 0.9, IBk, 3110, 90.75, 0.94, 0.91, IBk, 3110, 90.39, 0.94, 0.9, IBk, 3110, 90.04, 0.93, 0.9, IBk, 3110, 89.95, 0.93, 0.9, IBk, 3110, 90.31, 0.94, 0.9, IBk, 3110, 90.31, 0.94, 0.91, IBk, 3110, 90.31, 0.94, 0.91, IBk, 3110, 71.45, 0.8, 0.72, NaiveBayes, 3110, 91.74, 0.95, 0.92, MultilayerPerceptron, 3110, 84.38, 0.9, 0.85, J48, 
3210, 83.75, 0.88, 0.85, SMO, 3210, 89.86, 0.93, 0.9, IBk, 3210, 89.77, 0.93, 0.9, IBk, 3210, 90.84, 0.94, 0.91, IBk, 3210, 90.57, 0.94, 0.91, IBk, 3210, 89.86, 0.93, 0.9, IBk, 3210, 89.95, 0.93, 0.9, IBk, 3210, 90.31, 0.94, 0.91, IBk, 3210, 90.13, 0.94, 0.91, IBk, 3210, 90.22, 0.94, 0.91, IBk, 3210, 71.9, 0.81, 0.72, NaiveBayes, 3210, 91.56, 0.94, 0.91, MultilayerPerceptron, 3210, 83.57, 0.9, 0.84, J48, 
3310, 83.93, 0.88, 0.85, SMO, 3310, 89.86, 0.93, 0.9, IBk, 3310, 89.86, 0.93, 0.9, IBk, 3310, 90.84, 0.94, 0.91, IBk, 3310, 90.57, 0.94, 0.91, IBk, 3310, 90.04, 0.93, 0.9, IBk, 3310, 89.95, 0.93, 0.9, IBk, 3310, 90.13, 0.93, 0.9, IBk, 3310, 89.95, 0.93, 0.9, IBk, 3310, 90.31, 0.94, 0.91, IBk, 3310, 71.81, 0.81, 0.72, NaiveBayes, 3310, 91.74, 0.95, 0.91, MultilayerPerceptron, 3310, 83.03, 0.89, 0.83, J48, 
3410, 84.29, 0.89, 0.86, SMO, 3410, 89.86, 0.93, 0.9, IBk, 3410, 89.41, 0.93, 0.9, IBk, 3410, 90.84, 0.94, 0.91, IBk, 3410, 90.66, 0.94, 0.91, IBk, 3410, 89.86, 0.93, 0.9, IBk, 3410, 89.86, 0.93, 0.9, IBk, 3410, 90.22, 0.94, 0.9, IBk, 3410, 90.04, 0.94, 0.9, IBk, 3410, 90.48, 0.94, 0.91, IBk, 3410, 72.35, 0.81, 0.72, NaiveBayes, 3410, 91.65, 0.95, 0.91, MultilayerPerceptron, 3410, 84.74, 0.9, 0.85, J48, 
3510, 84.29, 0.89, 0.86, SMO, 3510, 89.95, 0.93, 0.9, IBk, 3510, 89.41, 0.93, 0.89, IBk, 3510, 90.93, 0.94, 0.91, IBk, 3510, 90.48, 0.94, 0.9, IBk, 3510, 89.95, 0.93, 0.9, IBk, 3510, 89.86, 0.93, 0.9, IBk, 3510, 90.04, 0.93, 0.9, IBk, 3510, 90.13, 0.94, 0.91, IBk, 3510, 90.48, 0.94, 0.91, IBk, 3510, 72.35, 0.81, 0.72, NaiveBayes, 3510, 91.56, 0.94, 0.91, MultilayerPerceptron, 3510, 84.11, 0.9, 0.84, J48, 
3610, 84.2, 0.88, 0.86, SMO, 3610, 89.95, 0.94, 0.9, IBk, 3610, 89.77, 0.93, 0.9, IBk, 3610, 91.02, 0.94, 0.91, IBk, 3610, 90.84, 0.94, 0.91, IBk, 3610, 90.31, 0.94, 0.9, IBk, 3610, 90.31, 0.94, 0.9, IBk, 3610, 89.86, 0.93, 0.9, IBk, 3610, 90.13, 0.94, 0.91, IBk, 3610, 90.22, 0.94, 0.91, IBk, 3610, 72.8, 0.81, 0.73, NaiveBayes, 3610, 91.74, 0.95, 0.92, MultilayerPerceptron, 3610, 85.19, 0.91, 0.85, J48, 
3710, 83.84, 0.88, 0.85, SMO, 3710, 89.77, 0.93, 0.9, IBk, 3710, 89.77, 0.93, 0.9, IBk, 3710, 91.29, 0.94, 0.91, IBk, 3710, 91.2, 0.94, 0.91, IBk, 3710, 90.39, 0.94, 0.91, IBk, 3710, 90.48, 0.94, 0.91, IBk, 3710, 89.68, 0.93, 0.9, IBk, 3710, 90.22, 0.94, 0.91, IBk, 3710, 90.39, 0.94, 0.91, IBk, 3710, 72.89, 0.81, 0.73, NaiveBayes, 3710, 91.74, 0.95, 0.92, MultilayerPerceptron, 3710, 85.46, 0.91, 0.86, J48, 
3810, 83.84, 0.88, 0.85, SMO, 3810, 89.77, 0.93, 0.9, IBk, 3810, 89.68, 0.93, 0.9, IBk, 3810, 91.2, 0.94, 0.91, IBk, 3810, 91.11, 0.94, 0.91, IBk, 3810, 90.48, 0.94, 0.91, IBk, 3810, 90.57, 0.94, 0.91, IBk, 3810, 89.77, 0.93, 0.9, IBk, 3810, 90.22, 0.94, 0.91, IBk, 3810, 90.39, 0.94, 0.91, IBk, 3810, 72.35, 0.81, 0.72, NaiveBayes, 3810, 92.37, 0.95, 0.92, MultilayerPerceptron, 3810, 85.19, 0.91, 0.85, J48, 
3910, 83.48, 0.88, 0.85, SMO, 3910, 89.95, 0.94, 0.9, IBk, 3910, 89.77, 0.93, 0.9, IBk, 3910, 91.2, 0.94, 0.91, IBk, 3910, 91.02, 0.94, 0.91, IBk, 3910, 90.66, 0.94, 0.91, IBk, 3910, 90.57, 0.94, 0.91, IBk, 3910, 89.77, 0.93, 0.9, IBk, 3910, 90.31, 0.94, 0.91, IBk, 3910, 90.22, 0.94, 0.91, IBk, 3910, 72.62, 0.81, 0.73, NaiveBayes, 3910, 92.46, 0.95, 0.92, MultilayerPerceptron, 3910, 84.83, 0.91, 0.85, J48, 
4010, 83.84, 0.88, 0.85, SMO, 4010, 90.04, 0.94, 0.9, IBk, 4010, 89.68, 0.93, 0.9, IBk, 4010, 91.11, 0.94, 0.91, IBk, 4010, 90.93, 0.94, 0.91, IBk, 4010, 90.57, 0.94, 0.91, IBk, 4010, 90.57, 0.94, 0.91, IBk, 4010, 89.86, 0.93, 0.9, IBk, 4010, 90.22, 0.94, 0.91, IBk, 4010, 90.04, 0.93, 0.9, IBk, 4010, 72.53, 0.81, 0.72, NaiveBayes, 4010, 92.28, 0.95, 0.92, MultilayerPerceptron, 4010, 84.65, 0.9, 0.85, J48, 
4110, 83.39, 0.88, 0.85, SMO, 4110, 90.04, 0.94, 0.9, IBk, 4110, 89.68, 0.93, 0.9, IBk, 4110, 91.11, 0.94, 0.91, IBk, 4110, 91.02, 0.94, 0.91, IBk, 4110, 90.57, 0.94, 0.91, IBk, 4110, 90.57, 0.94, 0.91, IBk, 4110, 90.04, 0.93, 0.9, IBk, 4110, 90.39, 0.94, 0.91, IBk, 4110, 90.13, 0.93, 0.91, IBk, 4110, 72.44, 0.81, 0.72, NaiveBayes, 4110, 92.46, 0.95, 0.92, MultilayerPerceptron, 4110, 84.2, 0.9, 0.84, J48, 
4210, 84.02, 0.88, 0.86, SMO, 4210, 90.31, 0.94, 0.9, IBk, 4210, 89.77, 0.93, 0.9, IBk, 4210, 90.93, 0.94, 0.91, IBk, 4210, 90.93, 0.94, 0.91, IBk, 4210, 90.48, 0.94, 0.91, IBk, 4210, 90.39, 0.94, 0.91, IBk, 4210, 90.04, 0.93, 0.9, IBk, 4210, 90.48, 0.94, 0.91, IBk, 4210, 90.13, 0.93, 0.9, IBk, 4210, 72.71, 0.81, 0.73, NaiveBayes, 4210, 92.19, 0.95, 0.92, MultilayerPerceptron, 4210, 84.47, 0.9, 0.85, J48, 
4310, 83.84, 0.88, 0.85, SMO, 4310, 90.22, 0.94, 0.9, IBk, 4310, 89.77, 0.93, 0.9, IBk, 4310, 91.02, 0.94, 0.91, IBk, 4310, 90.84, 0.94, 0.91, IBk, 4310, 90.48, 0.94, 0.91, IBk, 4310, 90.31, 0.94, 0.9, IBk, 4310, 90.04, 0.93, 0.9, IBk, 4310, 90.31, 0.94, 0.91, IBk, 4310, 90.13, 0.93, 0.9, IBk, 4310, 72.62, 0.81, 0.73, NaiveBayes, 4310, 92.37, 0.95, 0.92, MultilayerPerceptron, 4310, 84.02, 0.9, 0.84, J48, 
4410, 83.84, 0.88, 0.85, SMO, 4410, 90.31, 0.94, 0.9, IBk, 4410, 89.86, 0.93, 0.9, IBk, 4410, 91.02, 0.94, 0.91, IBk, 4410, 90.84, 0.94, 0.91, IBk, 4410, 90.39, 0.94, 0.91, IBk, 4410, 90.31, 0.94, 0.9, IBk, 4410, 90.04, 0.93, 0.9, IBk, 4410, 90.31, 0.94, 0.91, IBk, 4410, 90.22, 0.93, 0.91, IBk, 4410, 72.62, 0.81, 0.73, NaiveBayes, 4410, 92.28, 0.95, 0.92, MultilayerPerceptron, 4410, 84.47, 0.9, 0.85, J48, 
4510, 83.93, 0.88, 0.85, SMO, 4510, 90.31, 0.94, 0.9, IBk, 4510, 89.86, 0.93, 0.9, IBk, 4510, 90.93, 0.94, 0.91, IBk, 4510, 90.84, 0.94, 0.91, IBk, 4510, 90.39, 0.94, 0.91, IBk, 4510, 90.31, 0.94, 0.9, IBk, 4510, 90.04, 0.93, 0.9, IBk, 4510, 90.31, 0.94, 0.91, IBk, 4510, 90.22, 0.93, 0.91, IBk, 4510, 72.26, 0.81, 0.72, NaiveBayes, 4510, 92.55, 0.95, 0.92, MultilayerPerceptron, 4510, 84.65, 0.9, 0.85, J48, 
4610, 83.75, 0.88, 0.85, SMO, 4610, 90.31, 0.94, 0.9, IBk, 4610, 89.95, 0.93, 0.9, IBk, 4610, 90.93, 0.94, 0.91, IBk, 4610, 90.93, 0.94, 0.91, IBk, 4610, 90.39, 0.94, 0.91, IBk, 4610, 90.31, 0.94, 0.9, IBk, 4610, 90.04, 0.93, 0.9, IBk, 4610, 90.39, 0.94, 0.91, IBk, 4610, 90.31, 0.94, 0.91, IBk, 4610, 72.53, 0.81, 0.72, NaiveBayes, 4610, 92.64, 0.95, 0.92, MultilayerPerceptron, 4610, 84.65, 0.9, 0.85, J48, 
4710, 83.66, 0.88, 0.85, SMO, 4710, 90.31, 0.94, 0.9, IBk, 4710, 89.95, 0.93, 0.9, IBk, 4710, 91.02, 0.94, 0.91, IBk, 4710, 90.93, 0.94, 0.91, IBk, 4710, 90.48, 0.94, 0.91, IBk, 4710, 90.39, 0.94, 0.91, IBk, 4710, 89.77, 0.93, 0.9, IBk, 4710, 90.48, 0.94, 0.91, IBk, 4710, 90.13, 0.93, 0.9, IBk, 4710, 72.35, 0.81, 0.72, NaiveBayes, 4710, 92.82, 0.95, 0.93, MultilayerPerceptron, 4710, 84.38, 0.9, 0.84, J48, 
4810, 83.75, 0.88, 0.85, SMO, 4810, 90.39, 0.94, 0.91, IBk, 4810, 90.04, 0.94, 0.9, IBk, 4810, 91.02, 0.94, 0.91, IBk, 4810, 90.93, 0.94, 0.91, IBk, 4810, 90.39, 0.94, 0.91, IBk, 4810, 90.22, 0.94, 0.9, IBk, 4810, 89.68, 0.93, 0.9, IBk, 4810, 90.48, 0.94, 0.91, IBk, 4810, 90.13, 0.93, 0.9, IBk, 4810, 72.44, 0.81, 0.72, NaiveBayes, 4810, 92.64, 0.95, 0.92, MultilayerPerceptron, 4810, 84.11, 0.9, 0.84, J48, 
4910, 83.66, 0.88, 0.85, SMO, 4910, 90.39, 0.94, 0.91, IBk, 4910, 90.04, 0.93, 0.9, IBk, 4910, 90.93, 0.94, 0.91, IBk, 4910, 91.11, 0.94, 0.91, IBk, 4910, 90.39, 0.94, 0.91, IBk, 4910, 90.31, 0.94, 0.91, IBk, 4910, 89.68, 0.93, 0.9, IBk, 4910, 90.39, 0.94, 0.91, IBk, 4910, 90.22, 0.93, 0.91, IBk, 4910, 72.44, 0.81, 0.72, NaiveBayes, 4910, 92.73, 0.95, 0.92, MultilayerPerceptron, 4910, 83.75, 0.9, 0.84, J48, 
5010, 85.01, 0.89, 0.86, SMO, 5010, 90.39, 0.94, 0.91, IBk, 5010, 90.04, 0.94, 0.9, IBk, 5010, 91.11, 0.94, 0.91, IBk, 5010, 90.75, 0.94, 0.91, IBk, 5010, 90.48, 0.94, 0.91, IBk, 5010, 90.13, 0.93, 0.9, IBk, 5010, 89.77, 0.93, 0.9, IBk, 5010, 90.13, 0.93, 0.9, IBk, 5010, 89.86, 0.93, 0.9, IBk, 5010, 72.53, 0.81, 0.72, NaiveBayes, 5010, 92.28, 0.95, 0.92, MultilayerPerceptron, 5010, 85.73, 0.91, 0.86, J48, 
5110, 84.74, 0.89, 0.86, SMO, 5110, 90.31, 0.94, 0.9, IBk, 5110, 90.04, 0.94, 0.9, IBk, 5110, 91.29, 0.94, 0.91, IBk, 5110, 90.75, 0.94, 0.91, IBk, 5110, 90.48, 0.94, 0.91, IBk, 5110, 90.13, 0.93, 0.9, IBk, 5110, 89.77, 0.93, 0.9, IBk, 5110, 90.13, 0.93, 0.9, IBk, 5110, 89.77, 0.93, 0.9, IBk, 5110, 72.35, 0.81, 0.72, NaiveBayes, 5110, 91.92, 0.95, 0.92, MultilayerPerceptron, 5110, 85.01, 0.9, 0.85, J48, 
5210, 85.28, 0.89, 0.87, SMO, 5210, 90.31, 0.94, 0.9, IBk, 5210, 89.41, 0.93, 0.9, IBk, 5210, 90.57, 0.94, 0.91, IBk, 5210, 91.2, 0.94, 0.91, IBk, 5210, 90.48, 0.94, 0.91, IBk, 5210, 90.31, 0.94, 0.9, IBk, 5210, 89.77, 0.93, 0.9, IBk, 5210, 89.68, 0.93, 0.9, IBk, 5210, 90.04, 0.93, 0.9, IBk, 5210, 72.98, 0.82, 0.73, NaiveBayes, 5210, 92.19, 0.95, 0.92, MultilayerPerceptron, 5210, 84.38, 0.9, 0.84, J48, 
5310, 85.37, 0.9, 0.87, SMO, 5310, 90.31, 0.94, 0.9, IBk, 5310, 89.32, 0.93, 0.9, IBk, 5310, 90.57, 0.94, 0.91, IBk, 5310, 91.11, 0.94, 0.91, IBk, 5310, 90.39, 0.94, 0.91, IBk, 5310, 90.22, 0.93, 0.9, IBk, 5310, 89.68, 0.93, 0.9, IBk, 5310, 89.95, 0.93, 0.9, IBk, 5310, 89.86, 0.93, 0.9, IBk, 5310, 73.16, 0.82, 0.74, NaiveBayes, 5310, 92.28, 0.95, 0.92, MultilayerPerceptron, 5310, 84.92, 0.9, 0.85, J48, 
5410, 85.37, 0.9, 0.87, SMO, 5410, 90.39, 0.94, 0.91, IBk, 5410, 89.32, 0.93, 0.9, IBk, 5410, 90.75, 0.94, 0.91, IBk, 5410, 91.02, 0.94, 0.91, IBk, 5410, 90.57, 0.94, 0.91, IBk, 5410, 90.22, 0.93, 0.9, IBk, 5410, 89.68, 0.93, 0.9, IBk, 5410, 89.95, 0.93, 0.9, IBk, 5410, 89.86, 0.93, 0.9, IBk, 5410, 73.25, 0.82, 0.74, NaiveBayes, 5410, 92.37, 0.95, 0.92, MultilayerPerceptron, 5410, 84.65, 0.9, 0.85, J48, 
5510, 85.46, 0.9, 0.87, SMO, 5510, 90.39, 0.94, 0.91, IBk, 5510, 89.32, 0.93, 0.9, IBk, 5510, 90.84, 0.94, 0.91, IBk, 5510, 91.11, 0.94, 0.91, IBk, 5510, 90.48, 0.94, 0.91, IBk, 5510, 90.22, 0.93, 0.9, IBk, 5510, 89.95, 0.93, 0.9, IBk, 5510, 90.04, 0.93, 0.9, IBk, 5510, 89.95, 0.93, 0.9, IBk, 5510, 73.16, 0.82, 0.74, NaiveBayes, 5510, 92.55, 0.95, 0.92, MultilayerPerceptron, 5510, 84.2, 0.9, 0.84, J48, 
5610, 85.46, 0.9, 0.87, SMO, 5610, 90.31, 0.94, 0.9, IBk, 5610, 89.32, 0.93, 0.89, IBk, 5610, 90.31, 0.94, 0.9, IBk, 5610, 90.84, 0.94, 0.91, IBk, 5610, 90.66, 0.94, 0.91, IBk, 5610, 90.22, 0.94, 0.9, IBk, 5610, 89.77, 0.93, 0.9, IBk, 5610, 89.95, 0.93, 0.9, IBk, 5610, 89.95, 0.93, 0.9, IBk, 5610, 72.98, 0.82, 0.74, NaiveBayes, 5610, 92.28, 0.95, 0.92, MultilayerPerceptron, 5610, 83.84, 0.89, 0.84, J48, 
5710, 85.46, 0.9, 0.87, SMO, 5710, 90.31, 0.94, 0.9, IBk, 5710, 89.68, 0.93, 0.9, IBk, 5710, 90.39, 0.94, 0.9, IBk, 5710, 90.93, 0.94, 0.91, IBk, 5710, 90.66, 0.94, 0.91, IBk, 5710, 90.48, 0.94, 0.91, IBk, 5710, 90.04, 0.93, 0.9, IBk, 5710, 90.04, 0.93, 0.9, IBk, 5710, 89.86, 0.93, 0.9, IBk, 5710, 72.98, 0.82, 0.74, NaiveBayes, 5710, 92.01, 0.95, 0.92, MultilayerPerceptron, 5710, 84.92, 0.9, 0.85, J48, 
5810, 85.64, 0.9, 0.87, SMO, 5810, 90.39, 0.94, 0.91, IBk, 5810, 89.77, 0.93, 0.9, IBk, 5810, 90.48, 0.94, 0.9, IBk, 5810, 91.02, 0.94, 0.91, IBk, 5810, 90.57, 0.94, 0.91, IBk, 5810, 90.39, 0.94, 0.91, IBk, 5810, 89.95, 0.93, 0.9, IBk, 5810, 90.13, 0.93, 0.9, IBk, 5810, 89.86, 0.93, 0.9, IBk, 5810, 72.98, 0.82, 0.74, NaiveBayes, 5810, 92.1, 0.95, 0.92, MultilayerPerceptron, 5810, 83.66, 0.89, 0.84, J48, 
5910, 85.64, 0.9, 0.87, SMO, 5910, 90.39, 0.94, 0.91, IBk, 5910, 89.77, 0.93, 0.9, IBk, 5910, 90.48, 0.94, 0.9, IBk, 5910, 91.2, 0.94, 0.91, IBk, 5910, 90.84, 0.94, 0.91, IBk, 5910, 90.39, 0.94, 0.91, IBk, 5910, 89.95, 0.93, 0.9, IBk, 5910, 90.04, 0.93, 0.9, IBk, 5910, 89.86, 0.93, 0.9, IBk, 5910, 72.89, 0.82, 0.73, NaiveBayes, 5910, 92.1, 0.95, 0.92, MultilayerPerceptron, 5910, 83.84, 0.9, 0.84, J48, 
