atributos_SMO,acertos_SMO,micro_SMO,macro_SMO,nome_SMO,atributos_IBk_3,acertos_IBk_3,micro_IBk_3,macro_IBk_3,nome_IBk_3,atributos_IBk_5,acertos_IBk_5,micro_IBk_5,macro_IBk_5,nome_IBk_5,atributos_IBk_7,acertos_IBk_7,micro_IBk_7,macro_IBk_7,nome_IBk_7,atributos_IBk_9,acertos_IBk_9,micro_IBk_9,macro_IBk_9,nome_IBk_9,atributos_IBk_11,acertos_IBk_11,micro_IBk_11,macro_IBk_11,nome_IBk_11,atributos_IBk_13,acertos_IBk_13,micro_IBk_13,macro_IBk_13,nome_IBk_13,atributos_IBk_15,acertos_IBk_15,micro_IBk_15,macro_IBk_15,nome_IBk_15,atributos_IBk_17,acertos_IBk_17,micro_IBk_17,macro_IBk_17,nome_IBk_17,atributos_IBk_19,acertos_IBk_19,micro_IBk_19,macro_IBk_19,nome_IBk_19,atributos_NaiveBayes,acertos_NaiveBayes,micro_NaiveBayes,macro_NaiveBayes,nome_NaiveBayes,atributos_MultilayerPerceptron,acertos_MultilayerPerceptron,micro_MultilayerPerceptron,macro_MultilayerPerceptron,nome_MultilayerPerceptron,atributos_J48,acertos_J48,micro_J48,macro_J48,nome_J48,
1010, 81.06, 0.86, 0.83, SMO, 1010, 89.68, 0.93, 0.9, IBk, 1010, 89.86, 0.93, 0.9, IBk, 1010, 90.22, 0.94, 0.9, IBk, 1010, 90.13, 0.94, 0.9, IBk, 1010, 90.31, 0.94, 0.9, IBk, 1010, 90.39, 0.94, 0.91, IBk, 1010, 89.5, 0.93, 0.9, IBk, 1010, 89.68, 0.93, 0.9, IBk, 1010, 89.68, 0.93, 0.9, IBk, 1010, 69.12, 0.79, 0.71, NaiveBayes, 1010, 91.83, 0.95, 0.92, MultilayerPerceptron, 1010, 83.3, 0.89, 0.83, J48, 
1110, 80.88, 0.86, 0.83, SMO, 1110, 88.6, 0.93, 0.89, IBk, 1110, 89.59, 0.93, 0.9, IBk, 1110, 90.57, 0.94, 0.91, IBk, 1110, 90.31, 0.94, 0.9, IBk, 1110, 89.95, 0.93, 0.9, IBk, 1110, 90.22, 0.93, 0.9, IBk, 1110, 89.77, 0.93, 0.9, IBk, 1110, 89.59, 0.93, 0.9, IBk, 1110, 89.41, 0.93, 0.9, IBk, 1110, 69.66, 0.79, 0.71, NaiveBayes, 1110, 92.19, 0.95, 0.92, MultilayerPerceptron, 1110, 81.87, 0.88, 0.82, J48, 
1210, 80.7, 0.86, 0.83, SMO, 1210, 88.69, 0.93, 0.89, IBk, 1210, 89.41, 0.93, 0.9, IBk, 1210, 90.39, 0.94, 0.91, IBk, 1210, 90.48, 0.94, 0.91, IBk, 1210, 89.95, 0.93, 0.9, IBk, 1210, 89.95, 0.93, 0.9, IBk, 1210, 89.77, 0.93, 0.9, IBk, 1210, 89.86, 0.93, 0.9, IBk, 1210, 90.22, 0.94, 0.9, IBk, 1210, 69.75, 0.79, 0.71, NaiveBayes, 1210, 92.01, 0.95, 0.92, MultilayerPerceptron, 1210, 83.12, 0.89, 0.83, J48, 
1310, 80.52, 0.85, 0.83, SMO, 1310, 89.23, 0.93, 0.89, IBk, 1310, 89.5, 0.93, 0.9, IBk, 1310, 90.48, 0.94, 0.91, IBk, 1310, 89.59, 0.93, 0.9, IBk, 1310, 89.77, 0.93, 0.9, IBk, 1310, 90.22, 0.94, 0.9, IBk, 1310, 90.22, 0.94, 0.9, IBk, 1310, 89.68, 0.93, 0.9, IBk, 1310, 89.32, 0.93, 0.9, IBk, 1310, 69.3, 0.79, 0.7, NaiveBayes, 1310, 91.47, 0.94, 0.91, MultilayerPerceptron, 1310, 83.12, 0.89, 0.83, J48, 
1410, 80.79, 0.86, 0.83, SMO, 1410, 89.14, 0.93, 0.89, IBk, 1410, 89.86, 0.93, 0.9, IBk, 1410, 90.48, 0.94, 0.91, IBk, 1410, 89.41, 0.93, 0.9, IBk, 1410, 89.68, 0.93, 0.9, IBk, 1410, 89.59, 0.93, 0.9, IBk, 1410, 89.95, 0.94, 0.9, IBk, 1410, 89.59, 0.93, 0.9, IBk, 1410, 89.59, 0.93, 0.9, IBk, 1410, 69.12, 0.79, 0.69, NaiveBayes, 1410, 91.47, 0.94, 0.91, MultilayerPerceptron, 1410, 82.41, 0.89, 0.82, J48, 
1510, 80.34, 0.85, 0.82, SMO, 1510, 89.5, 0.93, 0.9, IBk, 1510, 90.13, 0.93, 0.9, IBk, 1510, 89.95, 0.93, 0.9, IBk, 1510, 89.41, 0.93, 0.89, IBk, 1510, 89.86, 0.93, 0.9, IBk, 1510, 89.5, 0.93, 0.9, IBk, 1510, 89.05, 0.93, 0.89, IBk, 1510, 89.59, 0.93, 0.9, IBk, 1510, 89.14, 0.93, 0.9, IBk, 1510, 69.3, 0.79, 0.7, NaiveBayes, 1510, 91.74, 0.95, 0.92, MultilayerPerceptron, 1510, 83.03, 0.89, 0.83, J48, 
1610, 79.71, 0.85, 0.82, SMO, 1610, 90.22, 0.94, 0.9, IBk, 1610, 90.22, 0.94, 0.9, IBk, 1610, 90.31, 0.94, 0.9, IBk, 1610, 90.04, 0.93, 0.9, IBk, 1610, 89.86, 0.93, 0.9, IBk, 1610, 89.68, 0.93, 0.9, IBk, 1610, 89.41, 0.93, 0.9, IBk, 1610, 89.68, 0.93, 0.9, IBk, 1610, 89.14, 0.93, 0.9, IBk, 1610, 69.39, 0.79, 0.7, NaiveBayes, 1610, 91.83, 0.95, 0.92, MultilayerPerceptron, 1610, 84.47, 0.9, 0.84, J48, 
1710, 81.15, 0.86, 0.83, SMO, 1710, 89.95, 0.93, 0.9, IBk, 1710, 90.66, 0.94, 0.91, IBk, 1710, 90.22, 0.94, 0.9, IBk, 1710, 90.48, 0.94, 0.91, IBk, 1710, 89.95, 0.93, 0.9, IBk, 1710, 90.13, 0.94, 0.9, IBk, 1710, 89.77, 0.93, 0.9, IBk, 1710, 89.77, 0.93, 0.9, IBk, 1710, 89.5, 0.93, 0.9, IBk, 1710, 69.3, 0.79, 0.7, NaiveBayes, 1710, 91.29, 0.94, 0.91, MultilayerPerceptron, 1710, 85.19, 0.91, 0.85, J48, 
1810, 82.59, 0.87, 0.84, SMO, 1810, 89.86, 0.93, 0.9, IBk, 1810, 90.31, 0.94, 0.9, IBk, 1810, 90.48, 0.94, 0.9, IBk, 1810, 90.22, 0.94, 0.9, IBk, 1810, 90.04, 0.93, 0.9, IBk, 1810, 90.04, 0.93, 0.9, IBk, 1810, 90.22, 0.94, 0.91, IBk, 1810, 89.86, 0.93, 0.9, IBk, 1810, 89.32, 0.93, 0.9, IBk, 1810, 69.84, 0.79, 0.7, NaiveBayes, 1810, 91.2, 0.94, 0.91, MultilayerPerceptron, 1810, 84.56, 0.9, 0.85, J48, 
1910, 82.5, 0.87, 0.84, SMO, 1910, 89.68, 0.93, 0.9, IBk, 1910, 90.13, 0.93, 0.9, IBk, 1910, 90.31, 0.94, 0.9, IBk, 1910, 90.48, 0.94, 0.91, IBk, 1910, 90.22, 0.94, 0.9, IBk, 1910, 90.13, 0.93, 0.9, IBk, 1910, 90.39, 0.94, 0.91, IBk, 1910, 90.13, 0.94, 0.9, IBk, 1910, 89.68, 0.93, 0.9, IBk, 1910, 70.38, 0.79, 0.7, NaiveBayes, 1910, 91.47, 0.95, 0.91, MultilayerPerceptron, 1910, 85.37, 0.91, 0.85, J48, 
2010, 82.41, 0.87, 0.84, SMO, 2010, 89.23, 0.93, 0.89, IBk, 2010, 89.95, 0.93, 0.9, IBk, 2010, 90.39, 0.94, 0.9, IBk, 2010, 90.31, 0.94, 0.9, IBk, 2010, 90.39, 0.94, 0.91, IBk, 2010, 90.04, 0.93, 0.9, IBk, 2010, 90.31, 0.94, 0.91, IBk, 2010, 90.04, 0.93, 0.9, IBk, 2010, 89.5, 0.93, 0.9, IBk, 2010, 70.47, 0.79, 0.7, NaiveBayes, 2010, 90.93, 0.94, 0.91, MultilayerPerceptron, 2010, 84.02, 0.9, 0.84, J48, 
