


at:11	acertos:81.92	micro:0.73	macro:0.59	550 selecionados	MultilayerPerceptron



at:11	acertos:64.55	micro:0.44	macro:0.33	650 selecionados	SMO
at:11	acertos:78.79	micro:0.69	macro:0.53	650 selecionados	IBk
at:11	acertos:79.51	micro:0.69	macro:0.54	650 selecionados	IBk
at:11	acertos:80.77	micro:0.71	macro:0.56	650 selecionados	IBk
at:11	acertos:81.56	micro:0.73	macro:0.58	650 selecionados	IBk
at:11	acertos:81.77	micro:0.73	macro:0.58	650 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	650 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	650 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	650 selecionados	IBk
at:11	acertos:81.77	micro:0.73	macro:0.58	650 selecionados	IBk
at:11	acertos:56.69	micro:0.5	macro:0.39	650 selecionados	NaiveBayes
at:11	acertos:56.62	micro:0.5	macro:0.39	650 selecionados	NaiveBayesSimple
at:11	acertos:76.71	micro:0.67	macro:0.51	650 selecionados	J48
at:11	acertos:81.99	micro:0.73	macro:0.59	650 selecionados	MultilayerPerceptron



at:11	acertos:64.69	micro:0.44	macro:0.33	750 selecionados	SMO
at:11	acertos:78.76	micro:0.69	macro:0.53	750 selecionados	IBk
at:11	acertos:79.44	micro:0.69	macro:0.54	750 selecionados	IBk
at:11	acertos:80.66	micro:0.71	macro:0.56	750 selecionados	IBk
at:11	acertos:81.41	micro:0.72	macro:0.58	750 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	750 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	750 selecionados	IBk
at:11	acertos:81.52	micro:0.73	macro:0.57	750 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	750 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	750 selecionados	IBk
at:11	acertos:56.69	micro:0.5	macro:0.39	750 selecionados	NaiveBayes
at:11	acertos:56.73	micro:0.5	macro:0.39	750 selecionados	NaiveBayesSimple
at:11	acertos:76.79	micro:0.68	macro:0.51	750 selecionados	J48
at:11	acertos:82.13	micro:0.74	macro:0.59	750 selecionados	MultilayerPerceptron



at:11	acertos:64.69	micro:0.44	macro:0.33	850 selecionados	SMO
at:11	acertos:78.87	micro:0.69	macro:0.53	850 selecionados	IBk
at:11	acertos:79.58	micro:0.7	macro:0.55	850 selecionados	IBk
at:11	acertos:80.73	micro:0.71	macro:0.56	850 selecionados	IBk
at:11	acertos:81.34	micro:0.72	macro:0.58	850 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	850 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	850 selecionados	IBk
at:11	acertos:81.56	micro:0.73	macro:0.57	850 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	850 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	850 selecionados	IBk
at:11	acertos:56.84	micro:0.5	macro:0.39	850 selecionados	NaiveBayes
at:11	acertos:56.87	micro:0.5	macro:0.39	850 selecionados	NaiveBayesSimple
at:11	acertos:76.79	micro:0.67	macro:0.51	850 selecionados	J48
at:11	acertos:82.2	micro:0.74	macro:0.6	850 selecionados	MultilayerPerceptron



at:11	acertos:64.69	micro:0.44	macro:0.33	950 selecionados	SMO
at:11	acertos:79.08	micro:0.69	macro:0.54	950 selecionados	IBk
at:11	acertos:79.73	micro:0.7	macro:0.55	950 selecionados	IBk
at:11	acertos:80.84	micro:0.71	macro:0.56	950 selecionados	IBk
at:11	acertos:81.41	micro:0.72	macro:0.58	950 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	950 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	950 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	950 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	950 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	950 selecionados	IBk
at:11	acertos:56.87	micro:0.5	macro:0.39	950 selecionados	NaiveBayes
at:11	acertos:56.84	micro:0.5	macro:0.39	950 selecionados	NaiveBayesSimple
at:11	acertos:76.71	micro:0.67	macro:0.51	950 selecionados	J48
at:11	acertos:82.31	micro:0.74	macro:0.6	950 selecionados	MultilayerPerceptron



at:11	acertos:64.76	micro:0.44	macro:0.33	1050 selecionados	SMO
at:11	acertos:79.08	micro:0.69	macro:0.54	1050 selecionados	IBk
at:11	acertos:79.83	micro:0.7	macro:0.55	1050 selecionados	IBk
at:11	acertos:80.91	micro:0.72	macro:0.57	1050 selecionados	IBk
at:11	acertos:81.49	micro:0.73	macro:0.58	1050 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	1050 selecionados	IBk
at:11	acertos:81.56	micro:0.73	macro:0.58	1050 selecionados	IBk
at:11	acertos:81.84	micro:0.73	macro:0.58	1050 selecionados	IBk
at:11	acertos:81.92	micro:0.73	macro:0.58	1050 selecionados	IBk
at:11	acertos:81.77	micro:0.73	macro:0.58	1050 selecionados	IBk
at:11	acertos:56.8	micro:0.5	macro:0.39	1050 selecionados	NaiveBayes
at:11	acertos:56.91	micro:0.5	macro:0.39	1050 selecionados	NaiveBayesSimple
at:11	acertos:77.18	micro:0.67	macro:0.51	1050 selecionados	J48
at:11	acertos:82.27	micro:0.74	macro:0.6	1050 selecionados	MultilayerPerceptron



at:11	acertos:64.8	micro:0.45	macro:0.34	1150 selecionados	SMO
at:11	acertos:79.15	micro:0.69	macro:0.54	1150 selecionados	IBk
at:11	acertos:79.73	micro:0.7	macro:0.55	1150 selecionados	IBk
at:11	acertos:80.91	micro:0.72	macro:0.56	1150 selecionados	IBk
